"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 12 06:01:25 GMT 2023","Sat Aug 12 06:01:25 GMT 2023","239","","criando dados ao DB","","","","[create] inserir um dado do tipo email",""
"passed","Sat Aug 12 06:01:42 GMT 2023","Sat Aug 12 06:01:42 GMT 2023","88","","excluindo dados do DB","","","","[delete] exclui um dado dentro da collection e do DB",""
"passed","Sat Aug 12 06:02:01 GMT 2023","Sat Aug 12 06:02:02 GMT 2023","120","","atualizando dados do DB","","","","[update] atualiza um dado de acordo com o ""index"", depois realiza consulta e valida se foi atualizado",""
"passed","Sat Aug 12 06:02:01 GMT 2023","Sat Aug 12 06:02:01 GMT 2023","277","","atualizando dados do DB","","","","[update] atualiza o ""nome"", depois realiza consulta e valida se foi atualizado",""
"passed","Sat Aug 12 06:01:52 GMT 2023","Sat Aug 12 06:01:53 GMT 2023","111","","consultando dados do DB","","","","[query] consulta a quantidade de dados ""vazios"" na coluna ""index""",""
"passed","Sat Aug 12 06:01:52 GMT 2023","Sat Aug 12 06:01:52 GMT 2023","124","","consultando dados do DB","","","","[query] consulta um dado e exclui pelo ""index"", depois realiza consulta e valida se foi excluído",""
"passed","Sat Aug 12 06:01:25 GMT 2023","Sat Aug 12 06:01:26 GMT 2023","195","","criando dados ao DB","","","","[create] inserir muitos dados em conjunto",""
"passed","Sat Aug 12 06:01:52 GMT 2023","Sat Aug 12 06:01:52 GMT 2023","112","","consultando dados do DB","","","","[query] consulta a quantidade de dados ""unknown"" na coluna ""pokemon_type1""",""
"passed","Sat Aug 12 06:01:42 GMT 2023","Sat Aug 12 06:01:42 GMT 2023","165","","excluindo dados do DB","","","","[delete] derruba uma collection",""
"passed","Sat Aug 12 06:01:52 GMT 2023","Sat Aug 12 06:01:52 GMT 2023","239","","consultando dados do DB","","","","[query] consulta a quantidade de dados ""vazios"" na coluna ""pokemon_type2""",""
"passed","Sat Aug 12 06:01:25 GMT 2023","Sat Aug 12 06:01:25 GMT 2023","392","","criando dados ao DB","","","","[create] cria uma collection",""
"passed","Sat Aug 12 06:01:52 GMT 2023","Sat Aug 12 06:01:52 GMT 2023","162","","consultando dados do DB","","","","[query] consulta pelo ""name""",""
"passed","Sat Aug 12 06:01:52 GMT 2023","Sat Aug 12 06:01:52 GMT 2023","225","","consultando dados do DB","","","","[query] consulta pelo type ""water""",""
